,label,area,equivalent_diameter,mean_intensity,filename
81,100,2801,59.71887444,1033.813638,Exo70
82,102,2081,51.47437705,1080.870735,Exo70
83,103,2188,52.78113417,900.1860146,Exo70
84,104,1015,35.94910483,1053.853202,Exo70
85,105,1625,45.48641841,990.5858462,Exo70
86,106,2453,55.88610385,1016.059111,Exo70
87,107,1694,46.4420907,849.6233766,Exo70
88,108,663,29.05439413,1456.542986,Exo70
89,110,1755,47.27087265,868.968661,Exo70
90,112,1283,40.4174014,1051.452845,Exo70
91,113,1466,43.2038097,1253.771487,Exo70
92,114,1938,49.67432171,1393.094943,Exo70
93,115,1621,45.43040064,767.3602714,Exo70
94,116,1436,42.75946663,987.1761838,Exo70
95,117,985,35.41385254,1300.718782,Exo70
96,118,589,27.38499757,1823.451613,Exo70
0,1,3477,66.53610972,891.4814495,Exo70
1,2,3814,69.68597867,1034.889355,Exo70
2,4,3116,62.98741479,1149.439987,Exo70
3,5,3317,64.98719543,849.0346699,Exo70
4,6,3416,65.94987706,1078.481557,Exo70
5,7,2139,52.18677405,939.2898551,Exo70
6,8,3873,70.22290764,1139.961787,Exo70
7,9,3825,69.78639738,922.7192157,Exo70
8,10,2995,61.75234762,814.2530885,Exo70
9,11,3473,66.49782657,965.2746905,Exo70
10,12,3120,63.0278302,1006.216987,Exo70
11,13,3382,65.62085141,1112.174453,Exo70
12,14,2984,61.63884166,810.6079088,Exo70
13,15,3146,63.28990131,978.355054,Exo70
14,16,4081,72.08391348,746.1320755,Exo70
15,17,3807,69.62200045,810.0438666,Exo70
16,18,2568,57.18110834,853.4972741,Exo70
17,19,4039,71.71202494,972.2000495,Exo70
18,20,2996,61.762656,1105.984646,Exo70
19,21,2897,60.73363945,1116.363479,Exo70
20,22,3231,64.13919994,848.0445682,Exo70
21,23,3464,66.4116088,1039.13597,Exo70
22,24,2778,59.47318266,913.8603312,Exo70
23,25,2880,60.55518053,828.2298611,Exo70
24,27,3106,62.88626262,1168.783323,Exo70
25,28,3561,67.33502817,938.8680146,Exo70
26,29,3622,67.90930445,943.9875759,Exo70
27,30,3257,64.39674834,1198.178692,Exo70
28,32,2388,55.14069308,956.6649916,Exo70
29,33,3306,64.87934906,899.592559,Exo70
30,34,2137,52.1623706,721.9415068,Exo70
31,36,3179,63.62097541,789.8395722,Exo70
32,39,2820,59.92107739,885.2730496,Exo70
33,40,2530,56.75646261,769.4517787,Exo70
34,42,2721,58.85987429,951.6677692,Exo70
35,43,2572,57.22562458,879.3716952,Exo70
36,45,2968,61.47336796,996.0876011,Exo70
37,46,2582,57.33676399,918.796282,Exo70
38,47,3078,62.60216704,740.3765432,Exo70
39,49,3346,65.27066352,981.4019725,Exo70
40,50,2905,60.81743893,862.0096386,Exo70
41,51,3283,64.6532708,899.9604021,Exo70
42,52,2108,51.80722884,973.290797,Exo70
43,53,3301,64.83026868,911.2584065,Exo70
44,54,3364,65.44599169,706.5704518,Exo70
45,57,3850,70.01408606,1102.579481,Exo70
46,58,3271,64.53500252,812.6016509,Exo70
47,59,2448,55.8291179,805.0322712,Exo70
48,60,1862,48.69057437,1012.209452,Exo70
49,62,3371,65.51404815,860.5986354,Exo70
50,64,1735,47.00075117,935.7193084,Exo70
51,65,2861,60.355102,921.5470115,Exo70
52,66,2455,55.90888196,863.1918534,Exo70
53,67,2281,53.89118111,772.7680842,Exo70
